Date Local,Chat Support
2020-08-01,32.82
2020-08-02,37.98
2020-08-03,25.61
2020-08-04,38.96
2020-08-05,29.47
2020-08-06,53.49
2020-08-07,46.03
2020-08-08,14.94
2020-08-09,23.37
2020-08-10,23.08
2020-08-11,30.54
2020-08-12,36.73
2020-08-13,45.67
2020-08-14,37.55
2020-08-15,31.17
2020-08-16,23.16
2020-08-17,34.58
2020-08-18,29.03
2020-08-19,39.39
2020-08-20,41.02
2020-08-21,29.82
2020-08-22,14.27
2020-08-23,23.37
2020-08-24,23.64
2020-08-25,15.26
2020-08-26,28.33
2020-08-27,37.36
2020-08-28,30.58
2020-08-29,23.81
2020-08-30,26.32
2020-08-31,29.82
2020-09-01,31.62
2020-09-02,38.17
2020-09-03,31.74
2020-09-04,14.72
2020-09-05,10.54
2020-09-06,21.24
2020-09-07,23.65
2020-09-08,17.63
2020-09-09,17.54
2020-09-10,25.74
2020-09-11,23.05
2020-09-12,15.36
2020-09-13,22.31
2020-09-14,20.76
2020-09-15,23.04
2020-09-16,28.41
2020-09-17,38.29
2020-09-18,31.81
2020-09-19,15.25
2020-09-20,16.06
2020-09-21,27.48
2020-09-22,22.15
2020-09-23,27.15
2020-09-24,34.71
2020-09-25,29.11
2020-09-26,15.48
2020-09-27,19.81
2020-09-28,19.20
2020-09-29,16.32
2020-09-30,23.59
2020-10-01,33.26
2020-10-02,22.28
2020-10-03,20.27
2020-10-04,18.22
2020-10-05,21.66
2020-10-06,21.73
2020-10-07,24.53
2020-10-08,39.58
2020-10-09,17.70
2020-10-10,10.15
2020-10-11,15.10
2020-10-12,22.01
2020-10-13,17.25
2020-10-14,26.81
2020-10-15,20.47
2020-10-16,10.94
2020-10-17,7.42
2020-10-18,4.97
2020-10-19,22.50
2020-10-20,30.77
2020-10-21,30.49
2020-10-22,34.09
2020-10-23,30.16
2020-10-24,15.28
2020-10-25,15.41
2020-10-26,20.83
2020-10-27,30.76
2020-10-28,28.02
2020-10-29,32.76
2020-10-30,9.21
2020-10-31,13.82
2020-11-01,22.92
2020-11-02,27.02
2020-11-03,32.27
2020-11-04,25.59
2020-11-05,19.18
2020-11-06,19.79
2020-11-07,14.96
2020-11-08,7.73
2020-11-09,7.66
2020-11-10,27.77
2020-11-11,43.36
2020-11-12,45.07
2020-11-13,35.67
2020-11-14,15.30
2020-11-15,15.24
2020-11-16,15.36
2020-11-17,30.55
2020-11-18,37.58
2020-11-19,35.98
2020-11-20,25.88
2020-11-21,14.40
2020-11-22,22.74
2020-11-23,19.95
2020-11-24,27.46
2020-11-25,29.51
2020-11-26,23.13
2020-11-27,21.56
2020-11-28,15.38
2020-11-29,22.09
2020-11-30,21.19
